1,2,1980,5340
1,3,15420,20220
1,4,4260,6540
1,5,30660,36900
1,6,2700,5340
1,7,0,2640
1,8,30720,33240
1,9,32880,35040
1,10,720,3600
1,11,14640,18840
1,12,3000,6180
1,13,12960,16200
1,14,2520,5340
1,15,780,4320
1,16,3240,11940
1,17,2640,8700
1,18,30720,37560
1,19,118380,130560
1,20,62040,69240
1,21,76500,84240
1,22,411120,421800
1,23,65880,75600
1,24,31980,40680
1,25,540,2760
1,26,3480,5580
1,27,1140,5760
1,28,17400,19140
1,29,15120,19200
1,30,1860,4080
1,31,82020,87480
1,32,261540,265560
1,33,34620,41820
1,34,15720,19740
1,35,3060,6540
1,36,15240,19800
1,37,164580,169980
1,38,172380,177360
1,39,17340,21120
1,41,77760,85980
1,42,3960,12480
1,43,72600,84840
1,44,1500,10500
1,45,176160,188760
1,46,79860,88800
1,47,78120,85740
1,48,83280,95580
1,49,514560,528120
1,50,16140,20580
1,51,16920,18900
1,55,17220,24000
1,56,2640,3960
1,57,3120,11460
1,58,106200,116700
1,59,33960,45300
1,60,31740,44760
1,61,88020,98640
1,62,79380,86760
1,63,20160,27660
1,65,5400,8040
1,66,16860,20280
1,67,165660,181920
1,68,14400,19500
1,70,335160,342240
1,74,67140,69000
1,75,17940,21720
1,76,16380,19980
1,77,81540,87540
1,82,67140,74460
1,85,32640,34440
1,86,18060,20160
1,87,15960,18360
1,88,18720,21240
1,89,75660,78000
1,92,15540,20040
1,96,255000,260700
1,99,14820,18300
1,101,30420,37680
1,102,14940,19320
1,103,16020,19680
1,106,29040,31860
1,110,12360,15600
1,114,255840,277500
1,116,92640,105420
1,119,80460,98280
1,120,537480,553680
1,121,350820,366480
1,149,436260,455520
1,151,20580,33840
1,152,90840,104220
1,160,16440,19680
1,181,31080,39900
1,198,118020,121920
1,208,145920,160500
1,216,183660,191460
1,222,342000,349320
1,237,182760,191160
1,249,97380,112980
1,336,112320,127320
1,339,318780,329700
1,371,280440,289260
1,414,162780,169560
1,598,33060,39060
1,602,83400,99960
1,609,78720,82500
2,1,8400,12540
2,4,17580,21060
2,5,84060,86940
2,9,69120,72900
2,13,77700,83700
2,23,68220,77220
2,24,65580,72720
2,28,237360,241620
2,46,247320,253320
2,47,194460,199800
2,74,202560,206700
2,93,17820,21840
2,95,95460,100980
2,96,617760,624660
2,151,153480,166620
2,208,662640,676020
2,287,636420,639720
2,362,327000,332700
2,381,354780,360720
2,491,162720,168480
2,492,247680,253380
2,504,196560,201000
3,1,23400,27780
3,4,65760,70020
3,8,20700,26040
3,9,65940,70680
3,10,155340,159480
3,16,173160,178620
3,23,27480,35400
3,24,101400,108360
3,41,254220,259680
3,42,168180,175740
3,46,174480,178440
3,47,86460,91020
3,49,258960,268020
3,66,329700,333480
3,68,84840,88800
3,93,87180,92460
3,103,431640,435000
3,213,67800,71220
3,220,120660,124200
3,231,96900,101520
3,235,289380,294240
3,239,96600,102060
3,246,179280,185880
3,255,189600,194940
3,271,76860,84300
3,276,166380,174180
3,279,167340,172620
3,287,187260,191460
3,369,248100,255180
3,381,87480,93060
3,419,243540,248160
3,460,156840,161100
3,461,155160,161280
3,492,104640,109200
3,494,498540,502260
3,605,106320,110460
4,1,7080,9600
4,2,10800,14760
4,3,25140,30540
4,5,12360,18360
4,6,5940,9660
4,8,9300,13680
4,9,9840,16860
4,10,7800,12300
4,11,12240,16920
4,12,10920,14400
